# operator_convention: H_A(k)=H(k+A_x*xhat); Jx=dH/dA_x; Kxx=d2H/dA_x2
# omega Re_sigma_exact Im_sigma_exact Re_sigma_L Im_sigma_L Re_reg_exact Im_reg_exact Re_reg_L Im_reg_L
0.117 -0.8475001232840427 -1.8454452673733865 -0.8475001232840388 -1.8454452673733794 0.12327825584164169 -0.09804418494715471 0.12327825584164956 -0.09804418494714072
0.118 -0.8335069109821392 -1.838220324403486 -0.8335069109821364 -1.8382203244034807 0.12470146874443035 -0.09870357351525241 0.12470146874443701 -0.09870357351524014
0.119 -0.819706093728126 -1.830992900156315 -0.8197060937281246 -1.830992900156311 0.12615074754553374 -0.09934729843992252 0.12615074754553884 -0.09934729843991179
0.12 -0.8060930501846886 -1.8237641818717167 -0.8060930501846894 -1.8237641818717163 0.12762635296470798 -0.09997451451898505 0.12762635296471084 -0.09997451451897765
0.121 -0.7926632580375913 -1.8165352112138946 -0.7926632580375855 -1.816535211213884 0.12912853055869344 -0.10058434321157976 0.12912853055870277 -0.10058434321156258
0.122 -0.7794122949667559 -1.8093068885366652 -0.7794122949667545 -1.8093068885366617 0.13065750898203815 -0.10117587189431312 0.1306575089820434 -0.10117587189430272
0.123 -0.7663358396570417 -1.8020799769813958 -0.7663358396570414 -1.8020799769813933 0.1322134981365672 -0.10174815315656639 0.13221349813657096 -0.10174815315655744
0.124 -0.7534296728605725 -1.7948551064224396 -0.7534296728605675 -1.7948551064224314 0.13379668720562357 -0.10230020414231188 0.1337966872056321 -0.10230020414229686
0.125 -0.7406896785219261 -1.7876327772759915 -0.7406896785219242 -1.7876327772759881 0.13540724256913222 -0.10283100594703302 0.13540724256913775 -0.10283100594702303
0.126 -0.7281118449765791 -1.7804133641885505 -0.7281118449765775 -1.780413364188547 0.1370453055959054 -0.10333950307881126 0.13704530559591038 -0.10333950307880109
0.127 -0.7156922662320552 -1.7731971196216763 -0.7156922662320524 -1.7731971196216711 0.13871099031002543 -0.1038246029933033 0.1387109903100317 -0.1038246029932917
0.128 -0.7034271433405525 -1.7659841773506657 -0.7034271433405491 -1.7659841773506588 0.14040438092833527 -0.10428517571347139 0.14040438092834204 -0.10428517571345804
0.129 -0.6913127858706791 -1.7587745558950854 -0.6913127858706791 -1.758774555895081 0.1421255292667458 -0.10472005354542668 0.1421255292667491 -0.10472005354541587
0.13 -0.6793456134850963 -1.7515681619000203 -0.679345613485094 -1.7515681619000174 0.1438744520134839 -0.10512803090285991 0.14387445201348945 -0.1051280309028503
0.131 -0.6675221576296396 -1.7443647934873565 -0.667522157629638 -1.744364793487353 0.14565112786823312 -0.10550786425318208 0.14565112786823803 -0.10550786425317224
0.132 -0.6558390633385034 -1.7371641435973366 -0.6558390633385031 -1.7371641435973326 0.14745549454673407 -0.10585827219962332 0.1474554945467377 -0.10585827219961293
0.133 -0.6442930911586717 -1.7299658033411172 -0.6442930911586732 -1.7299658033411163 0.14928744565147264 -0.10617793571420597 0.14928744565147448 -0.1061779357141988
0.134 -0.6328811191955275 -1.7227692653858988 -0.6328811191955275 -1.7227692653859008 0.15114682741001362 -0.10646549853755255 0.15114682741001678 -0.10646549853754807
0.135 -0.6216001452800592 -1.7155739273947805 -0.6216001452800559 -1.715573927394774 0.15303343528374957 -0.10671956776225455 0.15303343528375585 -0.10671956776224166
0.136 -0.6104472892564795 -1.7083790955441778 -0.6104472892564758 -1.7083790955441676 0.15494701045116996 -0.1069387146174032 0.15494701045117668 -0.10693871461738666
0.137 -0.5994197953873999 -1.7011839881422943 -0.5994197953873988 -1.701183988142295 0.15688723617115935 -0.10712147547271599 0.1568872361711634 -0.10712147547271007
0.138 -0.5885150348717556 -1.6939877393726377 -0.5885150348717564 -1.6939877393726372 0.15885373403354788 -0.1072663530813781 0.15885373403354994 -0.10726635308137127
0.139 -0.5777305084686359 -1.6867894031868818 -0.577730508468639 -1.686789403186886 0.16084606010596303 -0.1073718180812009 0.16084606010596278 -0.10737181808119886
0.14 -0.5670638492181059 -1.6795879573721622 -0.5670638492181063 -1.679587957372162 0.16286370098787545 -0.10743631077466347 0.16286370098787806 -0.107436310774657
0.141 -0.5565128252475879 -1.6723823078176228 -0.5565128252475828 -1.6723823078176119 0.1649060697850808 -0.10745824320829545 0.16490606978508876 -0.10745824320827815
0.142 -0.5460753426499514 -1.6651712930054943 -0.5460753426499549 -1.6651712930055 0.16697250202008468 -0.10743600157249247 0.16697250202008396 -0.10743600157249214
0.143 -0.5357494484168408 -1.657953688751895 -0.5357494484168349 -1.6579536887518826 0.1690622514963273 -0.10736794894292523 0.16906225149633602 -0.10736794894290665
0.144 -0.52553333340756 -1.6507282132216168 -0.5255333334075561 -1.6507282132216092 0.17117448613723033 -0.10725242838392787 0.17117448613723693 -0.10725242838391408
0.145 -0.5154253353314774 -1.6434935322418918 -0.5154253353314783 -1.6434935322418913 0.17330828382327554 -0.10708776643513535 0.17330828382327748 -0.10708776643512881
0.146 -0.5054239417180445 -1.6362482649378558 -0.505423941718037 -1.6362482649378405 0.17546262825405964 -0.10687227700051437 0.17546262825406986 -0.10687227700049315
0.147 -0.49552779284570786 -1.628990989712211 -0.4955277928457089 -1.6289909897122141 0.17763640486496451 -0.10660426565884411 0.17763640486496624 -0.10660426565884124
0.148 -0.48573568459760846 -1.6217202505901767 -0.4857356845976094 -1.621720250590176 0.1798283968313597 -0.10628203441344891 0.17982839683136143 -0.1062820344134424
0.149 -0.4760465712080882 -1.614434563947949 -0.47604657120808436 -1.614434563947936 0.18203728119702461 -0.10590388689622895 0.182037281197031 -0.10590388689621012
0.15 -0.4664595678610872 -1.6071324256418975 -0.46645956786108866 -1.607132425641904 0.18426162516632194 -0.1054681340401842 0.18426162516632302 -0.10546813404018468
